,symboling,normalized-losses,make,fuel-type,num-of-doors,body-style,drive-wheels,engine-location,wheel-base,length,width,height,curb-weight,engine-type,num-of-cylinders,engine-size,fuel-system,bore,stroke,compression-ratio,horsepower,peak-rpm,city-L/100km,highway-mpg,price,horsepower-binned,aspiration-std,aspiration-turbo
136,2,83,subaru,gas,two,hatchback,4wd,front,93.3,157.3,63.8,0.931438127090301,2240,ohcf,four,108,2bbl,3.62,2.64,8.7,73,4400,9.038461538461538,31,7603,Low,True,False
137,0,102,subaru,gas,four,sedan,fwd,front,97.2,172.0,65.4,0.8779264214046824,2145,ohcf,four,108,2bbl,3.62,2.64,9.5,82,4800,7.34375,37,7126,Low,True,False
138,0,102,subaru,gas,four,sedan,fwd,front,97.2,172.0,65.4,0.8779264214046824,2190,ohcf,four,108,2bbl,3.62,2.64,9.5,82,4400,8.392857142857142,33,7775,Low,True,False
139,0,102,subaru,gas,four,sedan,fwd,front,97.2,172.0,65.4,0.8779264214046824,2340,ohcf,four,108,mpfi,3.62,2.64,9.0,94,5200,9.038461538461538,32,9960,Low,True,False
140,0,102,subaru,gas,four,sedan,4wd,front,97.0,172.0,65.4,0.9080267558528428,2385,ohcf,four,108,2bbl,3.62,2.64,9.0,82,4800,9.791666666666666,25,9233,Low,True,False
141,0,102,subaru,gas,four,sedan,4wd,front,97.0,172.0,65.4,0.9080267558528428,2510,ohcf,four,108,mpfi,3.62,2.64,7.7,111,4800,9.791666666666666,29,11259,Low,False,True
142,0,89,subaru,gas,four,wagon,fwd,front,97.0,173.5,65.4,0.8862876254180603,2290,ohcf,four,108,2bbl,3.62,2.64,9.0,82,4800,8.392857142857142,32,7463,Low,True,False
143,0,89,subaru,gas,four,wagon,fwd,front,97.0,173.5,65.4,0.8862876254180603,2455,ohcf,four,108,mpfi,3.62,2.64,9.0,94,5200,9.4,31,10198,Low,True,False
144,0,85,subaru,gas,four,wagon,4wd,front,96.9,173.6,65.4,0.9180602006688964,2420,ohcf,four,108,2bbl,3.62,2.64,9.0,82,4800,10.217391304347826,29,8013,Low,True,False
145,0,85,subaru,gas,four,wagon,4wd,front,96.9,173.6,65.4,0.9180602006688964,2650,ohcf,four,108,mpfi,3.62,2.64,7.7,111,4800,10.217391304347826,23,11694,Low,False,True
146,1,87,toyota,gas,two,hatchback,fwd,front,95.7,158.7,63.6,0.911371237458194,1985,ohc,four,92,2bbl,3.05,3.03,9.0,62,4800,6.714285714285714,39,5348,Low,True,False
147,1,87,toyota,gas,two,hatchback,fwd,front,95.7,158.7,63.6,0.911371237458194,2040,ohc,four,92,2bbl,3.05,3.03,9.0,62,4800,7.580645161290323,38,6338,Low,True,False
148,1,74,toyota,gas,four,hatchback,fwd,front,95.7,158.7,63.6,0.911371237458194,2015,ohc,four,92,2bbl,3.05,3.03,9.0,62,4800,7.580645161290323,38,6488,Low,True,False
149,0,77,toyota,gas,four,wagon,fwd,front,95.7,169.7,63.6,0.988294314381271,2280,ohc,four,92,2bbl,3.05,3.03,9.0,62,4800,7.580645161290323,37,6918,Low,True,False
150,0,81,toyota,gas,four,wagon,4wd,front,95.7,169.7,63.6,0.988294314381271,2290,ohc,four,92,2bbl,3.05,3.03,9.0,62,4800,8.703703703703704,32,7898,Low,True,False
151,0,91,toyota,gas,four,wagon,4wd,front,95.7,169.7,63.6,0.988294314381271,3110,ohc,four,92,2bbl,3.05,3.03,9.0,62,4800,8.703703703703704,32,8778,Low,True,False
152,0,91,toyota,gas,four,sedan,fwd,front,95.7,166.3,64.4,0.8862876254180603,2081,ohc,four,98,2bbl,3.19,3.03,9.0,70,4800,7.833333333333333,37,6938,Low,True,False
153,0,91,toyota,gas,four,hatchback,fwd,front,95.7,166.3,64.4,0.882943143812709,2109,ohc,four,98,2bbl,3.19,3.03,9.0,70,4800,7.833333333333333,37,7198,Low,True,False
154,0,91,toyota,diesel,four,sedan,fwd,front,95.7,166.3,64.4,0.8862876254180603,2275,ohc,four,110,idi,3.27,3.35,22.5,56,4500,6.911764705882353,36,7898,Low,True,False
155,0,91,toyota,diesel,four,hatchback,fwd,front,95.7,166.3,64.4,0.882943143812709,2275,ohc,four,110,idi,3.27,3.35,22.5,56,4500,6.184210526315789,47,7788,Low,True,False
156,0,91,toyota,gas,four,sedan,fwd,front,95.7,166.3,64.4,0.8862876254180603,2094,ohc,four,98,2bbl,3.19,3.03,9.0,70,4800,6.184210526315789,47,7738,Low,True,False
157,0,91,toyota,gas,four,hatchback,fwd,front,95.7,166.3,64.4,0.882943143812709,2122,ohc,four,98,2bbl,3.19,3.03,9.0,70,4800,8.392857142857142,34,8358,Low,True,False
158,0,91,toyota,gas,four,sedan,fwd,front,95.7,166.3,64.4,0.882943143812709,2140,ohc,four,98,2bbl,3.19,3.03,9.0,70,4800,8.392857142857142,34,9258,Low,True,False
159,1,168,toyota,gas,two,sedan,rwd,front,94.5,168.7,64.0,0.8795986622073579,2169,ohc,four,98,2bbl,3.19,3.03,9.0,70,4800,8.10344827586207,34,8058,Low,True,False
160,1,168,toyota,gas,two,hatchback,rwd,front,94.5,168.7,64.0,0.8795986622073579,2204,ohc,four,98,2bbl,3.19,3.03,9.0,70,4800,8.10344827586207,34,8238,Low,True,False
161,1,168,toyota,gas,two,sedan,rwd,front,94.5,168.7,64.0,0.8795986622073579,2265,dohc,four,98,mpfi,3.24,3.08,9.4,112,6600,9.038461538461538,29,9298,Low,True,False
162,1,168,toyota,gas,two,hatchback,rwd,front,94.5,168.7,64.0,0.8795986622073579,2300,dohc,four,98,mpfi,3.24,3.08,9.4,112,6600,9.038461538461538,29,9538,Low,True,False
163,2,134,toyota,gas,two,hardtop,rwd,front,98.4,176.2,65.6,0.8695652173913044,2540,ohc,four,146,mpfi,3.62,3.50,9.3,116,4800,9.791666666666666,30,8449,Low,True,False
164,2,134,toyota,gas,two,hardtop,rwd,front,98.4,176.2,65.6,0.8695652173913044,2536,ohc,four,146,mpfi,3.62,3.50,9.3,116,4800,9.791666666666666,30,9639,Low,True,False
165,2,134,toyota,gas,two,hatchback,rwd,front,98.4,176.2,65.6,0.8695652173913044,2551,ohc,four,146,mpfi,3.62,3.50,9.3,116,4800,9.791666666666666,30,9989,Low,True,False
166,2,134,toyota,gas,two,hardtop,rwd,front,98.4,176.2,65.6,0.8695652173913044,2679,ohc,four,146,mpfi,3.62,3.50,9.3,116,4800,9.791666666666666,30,11199,Low,True,False
167,2,134,toyota,gas,two,hatchback,rwd,front,98.4,176.2,65.6,0.8695652173913044,2714,ohc,four,146,mpfi,3.62,3.50,9.3,116,4800,9.791666666666666,30,11549,Low,True,False
168,2,134,toyota,gas,two,convertible,rwd,front,98.4,176.2,65.6,0.8862876254180603,2975,ohc,four,146,mpfi,3.62,3.50,9.3,116,4800,9.791666666666666,30,17669,Low,True,False
169,-1,65,toyota,gas,four,sedan,fwd,front,102.4,175.6,66.5,0.9180602006688964,2326,ohc,four,122,mpfi,3.31,3.54,8.7,92,4200,8.10344827586207,34,8948,Low,True,False
170,-1,65,toyota,diesel,four,sedan,fwd,front,102.4,175.6,66.5,0.9180602006688964,2480,ohc,four,110,idi,3.27,3.35,22.5,73,4500,7.833333333333333,33,10698,Low,False,True
171,-1,65,toyota,gas,four,hatchback,fwd,front,102.4,175.6,66.5,0.9013377926421405,2414,ohc,four,122,mpfi,3.31,3.54,8.7,92,4200,8.703703703703704,32,9988,Low,True,False
172,-1,65,toyota,gas,four,sedan,fwd,front,102.4,175.6,66.5,0.9180602006688964,2414,ohc,four,122,mpfi,3.31,3.54,8.7,92,4200,8.703703703703704,32,10898,Low,True,False
173,-1,65,toyota,gas,four,hatchback,fwd,front,102.4,175.6,66.5,0.9013377926421405,2458,ohc,four,122,mpfi,3.31,3.54,8.7,92,4200,8.703703703703704,32,11248,Low,True,False
174,3,197,toyota,gas,two,hatchback,rwd,front,102.9,183.5,67.7,0.8695652173913044,2976,dohc,six,171,mpfi,3.27,3.35,9.3,161,5200,11.75,24,16558,Medium,True,False
175,3,197,toyota,gas,two,hatchback,rwd,front,102.9,183.5,67.7,0.8695652173913044,3016,dohc,six,171,mpfi,3.27,3.35,9.3,161,5200,12.368421052631579,24,15998,Medium,True,False
176,-1,90,toyota,gas,four,sedan,rwd,front,104.5,187.8,66.5,0.9046822742474917,3131,dohc,six,171,mpfi,3.27,3.35,9.2,156,5200,11.75,24,15690,Medium,True,False
177,-1,122.0,toyota,gas,four,wagon,rwd,front,104.5,187.8,66.5,0.9046822742474917,3151,dohc,six,161,mpfi,3.27,3.35,9.2,156,5200,12.368421052631579,24,15750,Medium,True,False
178,2,122,volkswagen,diesel,two,sedan,fwd,front,97.3,171.7,65.5,0.931438127090301,2261,ohc,four,97,idi,3.01,3.40,23.0,52,4800,6.351351351351352,46,7775,Low,True,False
179,2,122,volkswagen,gas,two,sedan,fwd,front,97.3,171.7,65.5,0.931438127090301,2209,ohc,four,109,mpfi,3.19,3.40,9.0,85,5250,8.703703703703704,34,7975,Low,True,False
180,2,94,volkswagen,diesel,four,sedan,fwd,front,97.3,171.7,65.5,0.931438127090301,2264,ohc,four,97,idi,3.01,3.40,23.0,52,4800,6.351351351351352,46,7995,Low,True,False
181,2,94,volkswagen,gas,four,sedan,fwd,front,97.3,171.7,65.5,0.931438127090301,2212,ohc,four,109,mpfi,3.19,3.40,9.0,85,5250,8.703703703703704,34,8195,Low,True,False
182,2,94,volkswagen,gas,four,sedan,fwd,front,97.3,171.7,65.5,0.931438127090301,2275,ohc,four,109,mpfi,3.19,3.40,9.0,85,5250,8.703703703703704,34,8495,Low,True,False
183,2,94,volkswagen,diesel,four,sedan,fwd,front,97.3,171.7,65.5,0.931438127090301,2319,ohc,four,97,idi,3.01,3.40,23.0,68,4500,6.351351351351352,42,9495,Low,False,True
184,2,94,volkswagen,gas,four,sedan,fwd,front,97.3,171.7,65.5,0.931438127090301,2300,ohc,four,109,mpfi,3.19,3.40,10.0,100,5500,9.038461538461538,32,9995,Low,True,False
185,3,122.0,volkswagen,gas,two,convertible,fwd,front,94.5,159.3,64.2,0.9297658862876255,2254,ohc,four,109,mpfi,3.19,3.40,8.5,90,5500,9.791666666666666,29,11595,Low,True,False
186,3,256,volkswagen,gas,two,hatchback,fwd,front,94.5,165.7,64.0,0.8595317725752508,2221,ohc,four,109,mpfi,3.19,3.40,8.5,90,5500,9.791666666666666,29,9980,Low,True,False
187,0,122.0,volkswagen,gas,four,sedan,fwd,front,100.4,180.2,66.9,0.9214046822742475,2661,ohc,five,136,mpfi,3.19,3.40,8.5,110,5500,12.368421052631579,24,13295,Low,True,False
188,0,122.0,volkswagen,diesel,four,sedan,fwd,front,100.4,180.2,66.9,0.9214046822742475,2579,ohc,four,97,idi,3.01,3.40,23.0,68,4500,7.121212121212121,38,13845,Low,False,True
189,0,122.0,volkswagen,gas,four,wagon,fwd,front,100.4,183.1,66.9,0.9214046822742475,2563,ohc,four,109,mpfi,3.19,3.40,9.0,88,5500,9.4,31,12290,Low,True,False
190,-2,103,volvo,gas,four,sedan,rwd,front,104.3,188.8,67.2,0.939799331103679,2912,ohc,four,141,mpfi,3.78,3.15,9.5,114,5400,10.217391304347826,28,12940,Low,True,False
191,-1,74,volvo,gas,four,wagon,rwd,front,104.3,188.8,67.2,0.9615384615384616,3034,ohc,four,141,mpfi,3.78,3.15,9.5,114,5400,10.217391304347826,28,13415,Low,True,False
192,-2,103,volvo,gas,four,sedan,rwd,front,104.3,188.8,67.2,0.939799331103679,2935,ohc,four,141,mpfi,3.78,3.15,9.5,114,5400,9.791666666666666,28,15985,Low,True,False
193,-1,74,volvo,gas,four,wagon,rwd,front,104.3,188.8,67.2,0.9615384615384616,3042,ohc,four,141,mpfi,3.78,3.15,9.5,114,5400,9.791666666666666,28,16515,Low,True,False
194,-2,103,volvo,gas,four,sedan,rwd,front,104.3,188.8,67.2,0.939799331103679,3045,ohc,four,130,mpfi,3.62,3.15,7.5,162,5100,13.823529411764707,22,18420,Medium,False,True
195,-1,74,volvo,gas,four,wagon,rwd,front,104.3,188.8,67.2,0.9615384615384616,3157,ohc,four,130,mpfi,3.62,3.15,7.5,162,5100,13.823529411764707,22,18950,Medium,False,True
196,-1,95,volvo,gas,four,sedan,rwd,front,109.1,188.8,68.9,0.9280936454849499,2952,ohc,four,141,mpfi,3.78,3.15,9.5,114,5400,10.217391304347826,28,16845,Low,True,False
197,-1,95,volvo,gas,four,sedan,rwd,front,109.1,188.8,68.8,0.9280936454849499,3049,ohc,four,141,mpfi,3.78,3.15,8.7,160,5300,12.368421052631579,25,19045,Medium,False,True
198,-1,95,volvo,gas,four,sedan,rwd,front,109.1,188.8,68.9,0.9280936454849499,3012,ohcv,six,173,mpfi,3.58,2.87,8.8,134,5500,13.055555555555555,23,21485,Medium,True,False
199,-1,95,volvo,diesel,four,sedan,rwd,front,109.1,188.8,68.9,0.9280936454849499,3217,ohc,six,145,idi,3.01,3.40,23.0,106,4800,9.038461538461538,27,22470,Low,False,True
200,-1,95,volvo,gas,four,sedan,rwd,front,109.1,188.8,68.9,0.9280936454849499,3062,ohc,four,141,mpfi,3.78,3.15,9.5,114,5400,12.368421052631579,25,22625,Low,False,True
